Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
37,37,202.43,720.6,629.4,91.18,-22951.301201025683,0.004952833775547273
38,38,202.45,196.9,172.8,24.07,-12921.556931538495,0.004961180679153765
39,39,202.47,49.75,43.88,5.874,-3475.4570792923164,0.00496904186512277
40,40,202.5,5.458,4.846,0.6116,-767.8063113990695,0.004971295212700974
41,41,202.53,0.5022,0.4488,0.05338,-277.90547998625715,0.0049717029155203745
42,42,202.55,0.09282,0.08329,0.009523,-43.80356083693904,0.004971897738648535
43,43,202.57,0.01587,0.01429,0.001571,-12.991464186095746,0.004971923380937485
44,44,202.6,0.0009682,0.0008774,9.088e-05,-3.518141122839269,0.00497193126477902
45,45,202.62,0.0001361,0.0001238,1.232e-05,-0.3862023758878962,0.004971933871225417
46,46,202.65,6.195e-06,5.664e-06,5.314e-07,-0.034281992014829926,0.004971934164098839
47,47,202.68,2.365e-07,2.173e-07,1.921e-08,-0.006578703822813538,0.004971934187153931
48,48,202.7,2.431e-08,2.241e-08,1.904e-09,-0.0011719376617296072,0.004971934191653523
49,49,202.72,2.137e-09,2.137e-09,,-0.00010788357586713319,0.0049719341925390445
50,50,205.53,2.308e-08,2.308e-08,,-0.0007496531736177178,0.0049719341920049535
51,51,205.55,2.381e-07,2.381e-07,,-0.01211484901908395,0.004971934182546668
52,52,205.57,2.279e-06,2.279e-06,,-0.0684366803803312,0.004971934135674794
53,53,205.6,5.858e-05,5.858e-05,,-0.3598635997368471,0.004971933893144941
54,54,205.62,0.0004645,0.0004645,,-4.137326188628944,0.004971930749483921
55,55,205.65,0.009004,0.009004,,-38.732975949631765,0.004971901958465327
56,56,205.68,0.1473,0.1473,,-146.57184784158687,0.004971812213338778
57,57,205.7,0.8644,0.8644,,-508.79916326532526,0.004971510762334222
58,58,205.72,4.703,4.703,,-3372.955714341221,0.00496912716829599
59,59,205.75,51.84,51.84,,-18049.440090643402,0.004956913177881115
60,60,205.78,482.3,482.3,,-44369.34778052225,0.0049350093559574065
61,61,205.8,1942.0,1942.0,,-174480.92874405638,0.004826728546874885
62,62,205.82,7251.0,7251.0,,-335666.4385347326,0.004692587548177738
63,63,205.85,45440.0,45440.0,,-516016.6423030306,0.004542497403721634
64,64,205.88,240300.0,240300.0,,-1393651.9779487196,0.003812116114682041
65,65,205.9,664100.0,664100.0,,-2848352.8689976707,0.002601492215645784
66,66,205.93,2649000.0,2649000.0,,-1166371.0792540663,0.004001262687319238
67,67,205.95,6064000.0,6064000.0,2.331e-14,5555095.6270396765,0.009594968088398766
68,68,205.97,12870000.0,12870000.0,2.383e-13,17128518.088578198,0.0192265438382964
69,69,206.0,34580000.0,34580000.0,6.766e-12,42491557.34265757,0.04033404549868411
70,70,206.03,78420000.0,78420000.0,1.623e-10,81803681.58508198,0.07305018489380331
71,71,206.05,123200000.0,123200000.0,1.229e-09,137804643.356644,0.11965502517872442
72,72,206.07,179500000.0,179500000.0,8.637e-09,203304023.3100242,0.1741645915311864
73,73,206.1,274200000.0,274200000.0,1.398e-07,267593426.5734277,0.22766719713510145
74,74,206.12,331000000.0,331000000.0,8.142e-07,321478088.57808995,0.2725108210138882
75,75,206.15,381200000.0,381200000.0,9.946e-06,351755944.0559455,0.2977085064477829
76,76,206.18,370500000.0,370500000.0,0.0001026,350592983.6829852,0.2967406733834045
77,77,206.2,331000000.0,331000000.0,0.0004429,318276480.18648154,0.2698463944928861
78,78,206.22,274200000.0,274200000.0,0.001773,261310466.20046732,0.2224384232813102
79,79,206.25,179500000.0,179500000.0,0.01234,195077818.18181905,0.16731862024742739
80,80,206.28,99230000.0,99230000.0,0.07258,128302405.59440617,0.1117471203990725
81,81,206.3,60830000.0,60830000.0,0.2153,74153993.47319384,0.06668399971758643
82,82,206.32,34580000.0,34580000.0,0.5925,34773240.32634053,0.033910746318909835
83,83,206.35,12870000.0,12870000.0,2.35,11264607.832167918,0.014346509776383376
84,84,206.38,4046000.0,4046000.0,7.875,2591874.1818182166,0.007128930759491168
85,85,206.4,1702000.0,1702000.0,16.06,-182540.67459206187,0.004820021105500653
86,86,206.43,403300.0,403300.0,40.61,-1955895.3778554776,0.003344208724791251
87,87,206.45,140600.0,140600.0,68.64,-1824794.6394871834,0.0034533127255013296
88,88,206.47,45540.0,45440.0,107.6,-717129.7665454559,0.0043751280454460886
89,89,206.5,7435.0,7251.0,183.7,-229204.25158834542,0.004781186976867182
90,90,206.53,1242.0,976.9,264.8,-110958.2553786483,0.004879593068358325
91,91,206.55,541.4,233.7,307.7,-24816.18785566439,0.00495128178890384
92,92,206.57,383.8,51.84,332.0,-9886.918480715642,0.004963706150785842
93,93,206.6,329.8,4.703,325.1,-3511.9396979216413,0.0049690115037403825
94,94,206.62,296.7,0.8644,295.8,-554.5616133375866,0.00497147267813693
95,95,206.65,244.0,0.05914,244.0,-70.81920380923765,0.004971875255825275
96,96,206.68,246.1,0.003415,246.1,-17.889859078158207,0.004971919304419791
97,97,206.7,329.8,0.0004645,329.8,-4.1526001466528095,0.004971930736772704
98,98,206.72,529.7,5.858e-05,529.7,-0.3698048953516327,0.004971933884871646
99,99,206.75,1159.0,2.279e-06,1159.0,-0.07086169555396292,0.004971934133656661
100,100,206.78,2301.0,7.483e-08,2301.0,-0.004850192332051296,0.004971934188592424
175,175,210.38,1406.0,1.387e-08,1406.0,-0.0005760296019813538,0.004971934192149446
176,176,210.4,1131.0,1.334e-07,1131.0,-0.004698950720396284,0.004971934188718289
177,177,210.43,713.4,3.476e-06,713.4,-0.025134411398251812,0.004971934171711592
178,178,210.45,479.3,2.794e-05,479.3,-0.1264767606332171,0.004971934087372969
179,179,210.47,299.5,0.0002089,299.5,-1.378431416772615,0.0049719330454775276
180,180,210.5,129.2,0.003735,129.2,-5.755432298122906,0.004971929402871748
181,181,210.53,47.41,0.0568,47.35,-46.890999044425314,0.004971895169236153
182,182,210.55,22.47,0.3187,22.15,-319.18748593724104,0.004971668560015878
183,183,210.57,11.31,1.664,9.642,-958.4211160506784,0.004971136580201714
184,184,210.6,19.77,17.35,2.418,-2602.645497448491,0.004969768232011549
185,185,210.62,76.59,75.71,0.8782,-12856.662457948752,0.00496123468530797
186,186,210.65,603.1,603.0,0.1679,-51529.39899883462,0.004929050653947564
187,187,210.68,4085.0,4085.0,0.02727,-98166.76481864821,0.0048902383386482656
188,188,210.7,13370.0,13370.0,0.007417,-150379.43010256425,0.004846786175516977
189,189,210.72,40730.0,40730.0,0.001877,-406059.8979254083,0.004634005055516487
190,190,210.75,189200.0,189200.0,0.0002085,-855929.8567832174,0.0042596165286358815
191,191,210.78,748000.0,748000.0,1.969e-05,-434551.2657342629,0.004610294111914356
192,192,210.8,1709000.0,1709000.0,3.73e-06,566902.5407925518,0.005443718989442253
193,193,210.82,3635000.0,3635000.0,6.573e-07,4728580.536130568,0.008907129833726919
194,194,210.85,9852000.0,9852000.0,4.246e-08,12862441.77156184,0.01567625114495207
195,195,210.88,22720000.0,22720000.0,2.331e-09,25010489.044289168,0.025786038280904984
196,196,210.9,36240000.0,36240000.0,3.075e-10,42584920.74592094,0.04041174392313787
197,197,210.93,63820000.0,63820000.0,1.287e-11,64142608.39160868,0.05835237490261669
198,198,210.95,85070000.0,85070000.0,1.417e-12,86483585.08158545,0.0769448707724688
199,199,210.97,105500000.0,105500000.0,1.452e-13,106651580.41958086,0.09372897897097505
200,200,211.0,127400000.0,127400000.0,,119271421.91142242,0.10423140033201253
201,201,211.03,130900000.0,130900000.0,,123255501.16550168,0.10754701084020779
202,202,211.05,121900000.0,121900000.0,,116290792.54079302,0.10175087586649756
203,203,211.07,105500000.0,105500000.0,,100806843.82284425,0.0888649015162077
204,204,211.1,74350000.0,74350000.0,,79330829.83683018,0.07099224058124533
205,205,211.12,53810000.0,53810000.0,,55765769.230769485,0.05138104371770061
206,206,211.15,28950000.0,28950000.0,,35016478.78787895,0.03411317301467606
